Municipality,Cluster,Benefit_Type,Rate_2023,Rate_2024,Rate_2025,Cumulative_Change_Pct,Trend,Z_Score
חולון,7.0,ילדים,122.02578618341292,120.2446014041143,118.30858957918628,-3.046238602912542,→ יציבה,-0.8842371263509023
חורה,1.0,ילדים,149.65771932985047,149.4811791777016,149.83686103906967,0.11970094828478242,→ יציבה,0.9265382638729858
חורפיש,4.0,ילדים,144.7348767737117,144.097733294083,142.39859935803912,-1.6141772237283742,→ יציבה,1.2438132305201794
חיפה,7.0,ילדים,114.02940708105525,112.9521945365185,111.84695418214085,-1.9139386538799221,→ יציבה,-1.321194769005693
חצור הגלילית,4.0,ילדים,135.86324174348877,137.5965511047243,136.24197002141327,0.2787569861166258,→ יציבה,0.44043485080673145
חריש,3.0,ילדים,191.66220317800392,172.9932206072437,171.4678669667417,-10.53642078428316,↓ יורדת,3.6733876575206925
חשמונאים,,ילדים,125.18763134193937,127.4325172630257,121.9670009705597,-2.57264262999177,→ יציבה,
טבריה,4.0,ילדים,129.82138732773885,128.1782087500955,127.51108176931058,-1.7796031963483931,→ יציבה,-0.6988584985111886
טובא-זנגרייה,2.0,ילדים,138.8276773909211,136.4228819695873,133.92857142857142,-3.5289115646258593,→ יציבה,-0.9359493169223383
טורעאן,3.0,ילדים,138.41015364061457,138.477801268499,138.39547140347452,-0.01060777461325066,→ יציבה,-0.15930105377740658
טייבה,3.0,ילדים,142.04606550678508,141.1969661560688,138.43726995477968,-2.5405811411460903,→ יציבה,-0.1544571096660872
טירה,4.0,ילדים,137.06410207867933,136.6228151902508,136.39869257042125,-0.485473218856468,→ יציבה,0.4608855715830445
טירת כרמל,5.0,ילדים,143.84737036912412,140.0543021526925,139.82848216278254,-2.7938558737839907,→ יציבה,1.254599573531329
טלמון,,ילדים,142.63295553618136,141.5222562011553,140.13169002194834,-1.7536378635851249,→ יציבה,
טמרה,2.0,ילדים,148.13893036889553,147.5025233925307,145.97107993334407,-1.4633900961435842,→ יציבה,0.7348399793772662
